LP_city,to_location,legs_outbound,from_location,local_price,outbound_departure_dt,local_ccy,inbound_departure_dt,destination_city,difference_from_median,destination_country,legs_inbound,local_median,origin_city,origin_market,Landing_Page_Link
Los Angles,SDQ,2,LAX,250.54,5/29/20 11:20,USD,6/5/20 17:44,Santo Domingo,-49,Dominican Republic,2,489.41,Los Angeles,US,https://www.skyscanner.com/transport/flights/LAX/SDQ/20200529/20200605?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=250&qp_prevProvider=DS_RDS_Standard
Los Angles,MNL,2,LAX,452.67,3/14/20 14:20,USD,4/19/20 6:25,Manila,-48,Philippines,2,871.02,Los Angeles,US,https://www.skyscanner.com/transport/flights/LAX/MNL/20200314/20200419?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=452&qp_prevProvider=DS_RDS_Standard
Los Angles,CDG,1,LAX,398.22,2/19/20 21:00,USD,2/24/20 15:15,Paris,-25,France,1,529.79,Los Angeles,US,https://www.skyscanner.com/transport/flights/LAX/CDG/20200219/20200224?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=398&qp_prevProvider=DS_RDS_Standard
Los Angles,CDG,2,LAX,416.05,11/20/19 7:50,USD,12/24/19 10:50,Paris,-21,France,2,529.79,Los Angeles,US,https://www.skyscanner.com/transport/flights/LAX/CDG/20191120/20191224?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=416&qp_prevProvider=DS_RDS_Standard
Los Angles,CDG,2,LAX,427.65,11/20/19 7:50,USD,12/24/19 8:00,Paris,-19,France,2,529.79,Los Angeles,US,https://www.skyscanner.com/transport/flights/LAX/CDG/20191120/20191224?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=427&qp_prevProvider=DS_RDS_Standard
Los Angles,JFK,1,LAX,297.38,7/22/20 14:30,USD,7/28/20 6:00,New York,-36,United States,1,465.68,Los Angeles,US,https://www.skyscanner.com/transport/flights/LAX/JFK/20200722/20200728?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=297&qp_prevProvider=DS_RDS_Standard
Los Angles,DPS,3,LAX,385.56,11/25/19 23:55,USD,12/13/19 0:20,Bali (Denpasar),-44,Indonesia,3,691.64,Los Angeles,US,https://www.skyscanner.com/transport/flights/LAX/DPS/20191125/20191213?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=385&qp_prevProvider=DS_RDS_Standard
Los Angles,NRT,2,LAX,452.59,3/16/20 1:40,USD,3/23/20 15:15,Tokyo,-35,Japan,2,690.99,Los Angeles,US,https://www.skyscanner.com/transport/flights/LAX/NRT/20200316/20200323?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=452&qp_prevProvider=DS_RDS_Standard
Los Angles,BKK,2,LAX,442.35,4/10/20 23:50,USD,4/19/20 15:30,Bangkok,-20,Thailand,2,554,Los Angeles,US,https://www.skyscanner.com/transport/flights/LAX/BKK/20200410/20200419?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=442&qp_prevProvider=DS_RDS_Standard
San Francisco,JFK,1,SFO,216.6,1/15/20 15:15,USD,1/20/20 6:37,New York,-38,United States,1,346.58,San Francisco,US,https://www.skyscanner.com/transport/flights/SFO/JFK/20200115/20200120?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=216&qp_prevProvider=DS_RDS_Standard
